state;district;year;full_name;party;grade
Alabama;1.0;2018;Robert Kennedy, Jr.;D;?
Alabama;1.0;2018;Bradley Byrne;R;A
Alabama;2.0;2018;Tabitha Isner;D;F
Alabama;2.0;2018;Martha Roby;R;A
Alabama;3.0;2018;Mallory Hagan;D;F
Alabama;3.0;2018;Mike Rogers;R;A+
Alabama;4.0;2018;Lee Auman;D;F
Alabama;4.0;2018;Robert Aderholt;R;A
Alabama;5.0;2018;Peter Joffrion;D;F
Alabama;5.0;2018;Mo Brooks;R;A
Alabama;6.0;2018;Danner Kline;D;F
Alabama;6.0;2018;Gary Palmer;R;A
Alabama;7.0;2018;Terri Sewell;D;D
Alaska;;2018;Alyse Galvin;D;?
Alaska;;2018;Don Young;R;A+
Arizona;1.0;2018;Tom O'Halleran;D;F
Arizona;1.0;2018;Wendy Rogers;R;AQ
Arizona;2.0;2018;Ann Kirkpatrick;D;F
Arizona;2.0;2018;Lea Marquez-Peterson;R;AQ
Arizona;3.0;2018;Raúl Grijalva;D;F
Arizona;3.0;2018;Nick Pierson;R;?
Arizona;4.0;2018;David Brill;D;F
Arizona;4.0;2018;Paul Gosar;R;A-
Arizona;5.0;2018;Joan Greene;D;F
Arizona;5.0;2018;Andy Biggs;R;A
Arizona;6.0;2018;Anita Malik;D;F
Arizona;6.0;2018;David Schweikert;R;A
Arizona;7.0;2018;Ruben Gallego;D;F
Arizona;8.0;2018;Hiral Tipirneni;D;F
Arizona;8.0;2018;Debbie Lesko;R;A
Arizona;9.0;2018;Greg Stanton;D;F
Arizona;9.0;2018;Steve Ferrara;R;AQ
Arkansas;1.0;2018;Chintan Desai;D;F
Arkansas;1.0;2018;Rick Crawford;R;A
Arkansas;2.0;2018;Clarke Tucker;D;F
Arkansas;2.0;2018;French Hill;R;A
Arkansas;3.0;2018;Josh Mahony;D;F
Arkansas;3.0;2018;Steve Womack;R;A
Arkansas;4.0;2018;Hayden Shamel;D;D
Arkansas;4.0;2018;Bruce Westerman;R;A
California;1.0;2018;Audrey Denney;D;F
California;1.0;2018;Doug LaMalfa;R;A
California;2.0;2018;Jared Huffman;D;F
California;2.0;2018;Dale Mensing;R;AQ
California;3.0;2018;John Garamendi;D;F
California;3.0;2018;Charlie Schaupp;R;AQ
California;4.0;2018;Jessica Morse;D;F
California;4.0;2018;Tom McClintock;R;A
California;5.0;2018;Mike Thompson;D;F
California;5.0;2018;Anthony Mills;NPP;?
California;6.0;2018;Doris Matsui;D;F
California;6.0;2018;Jrmar Jefferson;D;?
California;7.0;2018;Ami Bera;D;F
California;7.0;2018;Andrew Grant;R;AQ
California;8.0;2018;Paul Cook;R;A
California;8.0;2018;Tim Donnelly;R;A
California;9.0;2018;Jerry McNerney;D;F
California;9.0;2018;Marla Livengood;R;AQ
California;10.0;2018;Josh Harder;D;F
California;10.0;2018;Jeff Denham;R;A
California;11.0;2018;Mark DeSaulnier;D;F
California;11.0;2018;John Fitzgerald;R;?
California;12.0;2018;Nancy Pelosi;D;F
California;12.0;2018;Lisa Remmer;R;AQ
California;13.0;2018;Barbara Lee;D;F
California;13.0;2018;Laura Wells;GR;?
California;14.0;2018;Jackie Speier;D;F
California;14.0;2018;Cristina Osmena;R;?
California;15.0;2018;Eric Swalwell;D;F
California;15.0;2018;Rudy Peters;R;AQ
California;16.0;2018;Jim Costa;D;F
California;16.0;2018;Elizabeth Heng;R;?
California;17.0;2018;Ro Khanna;D;F
California;17.0;2018;Ron Cohen;R;?
California;18.0;2018;Anna Eshoo;D;F
California;18.0;2018;Christine Russell;R;?
California;19.0;2018;Zoe Lofgren;D;F
California;19.0;2018;Justin Aguilera;R;AQ
California;20.0;2018;Jimmy Panetta;D;F
California;20.0;2018;Ronald Kabat;NPP;AQ
California;21.0;2018;T.J. Cox;D;F
California;21.0;2018;David Valadao;R;A
California;22.0;2018;Andrew Janz;D;F
California;22.0;2018;Devin Nunes;R;A
California;23.0;2018;Tatiana Matta;D;F
California;23.0;2018;Kevin McCarthy;R;A+
California;24.0;2018;Salud Carbajal;D;F
California;24.0;2018;Justin Fareed;R;AQ
California;25.0;2018;Katie Hill;D;F
California;25.0;2018;Steve Knight;R;A
California;26.0;2018;Julia Brownley;D;F
California;26.0;2018;Antonio Sabato, Jr.;R;AQ
California;27.0;2018;Judy Chu;D;F
California;27.0;2018;Bryan Witt;D;F
California;28.0;2018;Adam Schiff;D;F
California;28.0;2018;Johnny Nalbandian;R;AQ
California;29.0;2018;Tony Cardenas;D;F
California;29.0;2018;Benito Benny Bernal;R;AQ
California;30.0;2018;Brad Sherman;D;F
California;30.0;2018;Mark Reed;R;AQ
California;31.0;2018;Pete Aguilar;D;F
California;31.0;2018;Sean Flynn;R;AQ
California;32.0;2018;Grace Napolitano;D;F
California;32.0;2018;Joshua Scott;R;?
California;33.0;2018;Ted Lieu;D;F
California;33.0;2018;Kenneth Wright;R;?
California;34.0;2018;Jimmy Gomez;D;F
California;34.0;2018;Kenneth Mejia;GR;?
California;35.0;2018;Norma Torres;D;F
California;35.0;2018;Christian Valiente;R;?
California;36.0;2018;Raul Ruiz;D;F
California;36.0;2018;Kimberlin Brown Pelzer;R;AQ
California;37.0;2018;Karen Bass;D;F
California;37.0;2018;Ron Bassilian;R;?
California;38.0;2018;Linda Sanchez;D;F
California;38.0;2018;Ryan Downing;R;?
California;39.0;2018;Gil Cisneros;D;F
California;39.0;2018;Young Kim;R;A
California;40.0;2018;Lucille Roybal-Allard;D;F
California;40.0;2018;Rodolfo Cortes Barragan;GR;?
California;41.0;2018;Mark Takano;D;F
California;41.0;2018;Aja Smith;R;AQ
California;42.0;2018;Julia Peacock;D;F
California;42.0;2018;Ken Calvert;R;A
California;43.0;2018;Maxine Waters;D;F
California;43.0;2018;Omar Navarro;R;AQ
California;44.0;2018;Nanette Barragan;D;F
California;44.0;2018;Aja Brown;D;F
California;45.0;2018;Katie Porter;D;F
California;45.0;2018;Mimi Walters;R;A
California;46.0;2018;Lou Correa;D;F
California;46.0;2018;Russell Lambert;R;AQ
California;47.0;2018;Alan Lowenthal;D;F
California;47.0;2018;John Briscoe;R;AQ
California;48.0;2018;Harley Rouda;D;F
