state;district;year;full_name;party;grade
MN;District 6;2016;David Snyder;L;?
MN;District 7;2016;Collin Peterson;L;A
MN;District 7;2016;Dave Hughes;R;AQ
MN;District 8;2016;Rick Nolan;L;F
MN;District 8;2016;Stewart Mills;R;AQ
MO;District 1;2016;Lacy Clay;D;F
MO;District 1;2016;Steven Bailey;R;?
MO;District 2;2016;Ann Wagner;R;A
MO;District 2;2016;Bill Otto;D;F
MO;District 3;2016;Kevin Miller;D;?
MO;District 3;2016;Blaine Luetkemeyer;R;A+
MO;District 4;2016;Gordon Christensen;D;D
MO;District 4;2016;Vicky Hartzler;R;A
MO;District 5;2016;Jacob Turk;R;?
MO;District 5;2016;Emanuel Cleaver;D;F
MO;District 6;2016;Sam Graves;R;A
MO;District 6;2016;David Blackwell;D;?
MO;District 7;2016;Genevieve Williams;D;D
MO;District 7;2016;Billy Long;R;A
MO;District 8;2016;Jason Smith;R;A
MO;District 8;2016;"Dave ""Starr"" Cowell";D;?
MS;District 1;2016;Trent Kelly;R;A
MS;District 1;2016;Jacob Owens;D;?
MS;District 2;2016;John Bouie II;R;AQ
MS;District 2;2016;Bennie Thompson;D;F
MS;District 3;2016;Gregg Harper;R;A
MS;District 3;2016;Dennis Quinn;D;?
MS;District 4;2016;Mark Gladney;D;?
MS;District 4;2016;Steven Palazzo;R;A
MT;At Large;2016;Denise Juneau;D;?
MT;At Large;2016;Ryan Zinke;R;A
NC;District 1;2016;H. Powell Dew Jr.;R;AQ
NC;District 1;2016;G.K. Butterfield;D;F
NC;District 10;2016;Patrick McHenry;R;A+
NC;District 10;2016;Andy Millard;D;F
NC;District 11;2016;Mark Meadows;R;A
NC;District 11;2016;Rick Bryson;D;?
NC;District 12;2016;Leon Threatt;R;?
NC;District 12;2016;Alma Adams;D;F
NC;District 13;2016;Ted Budd;R;AQ
NC;District 13;2016;Bruce Davis;D;?
NC;District 2;2016;George Holding;R;A
NC;District 2;2016;John McNeil;D;F
NC;District 3;2016;Ernest Reeves;D;?
NC;District 3;2016;Walter Jones;R;A
NC;District 4;2016;Sue Googe;R;AQ
NC;District 4;2016;David Price;D;F
NC;District 5;2016;Virginia Foxx;R;A
NC;District 5;2016;Josh Brannon;D;?
NC;District 6;2016;Mark Walker;R;A
NC;District 6;2016;Pete Glidewell;D;D
NC;District 7;2016;J. Wesley Casteen;D;?
NC;District 7;2016;David Rouzer;R;A
NC;District 8;2016;Thomas Mills;D;F
NC;District 8;2016;Richard Hudson;R;A+
NC;District 9;2016;Christian Cano;D;?
NC;District 9;2016;Robert Pittenger;R;A
ND;At Large;2016;Chase Iron Eyes;D;?
ND;At Large;2016;Kevin Cramer;R;A
NE;District 1;2016;Jeff Fortenberry;R;A
NE;District 1;2016;Daniel Wik;D;?
NE;District 2;2016;Don Bacon;R;AQ
NE;District 2;2016;Brad Ashford;D;D+
NE;District 3;2016;Adrian Smith;R;A
NH;District 1;2016;Carol Shea-Porter;D;F
NH;District 1;2016;Frank Guinta;R;A
NH;District 2;2016;Jim Lawrence;R;A
NH;District 2;2016;Annie Kuster;D;F
NJ;District 1;2016;Donald Norcross;D;F
NJ;District 1;2016;Bob Patterson;R;?
NJ;District 10;2016;Donald Payne Jr.;D;F
NJ;District 10;2016;David Pinckney;R;?
NJ;District 11;2016;Rodney Frelinghuysen;R;B
NJ;District 11;2016;Joe Wenzel;D;F
NJ;District 12;2016;Bonnie Watson Coleman;D;F
NJ;District 12;2016;Steven Uccio;R;B
NJ;District 2;2016;Frank LoBiondo;R;A
NJ;District 2;2016;Dave Cole;D;F
NJ;District 3;2016;Frederick John LaVergne;D;?
NJ;District 3;2016;Tom MacArthur;R;A
NJ;District 4;2016;Lorna Phillipson;D;F
NJ;District 4;2016;Chris Smith;R;C+
NJ;District 5;2016;Scott Garrett;R;A
NJ;District 5;2016;Josh Gottheimer;D;F
NJ;District 6;2016;Frank Pallone;D;F
NJ;District 6;2016;Brent Sonnek-Schmelz;R;?
NJ;District 7;2016;Leonard Lance;R;A
NJ;District 7;2016;Peter Jacob;D;F
NJ;District 8;2016;Agha Khan;R;?
NJ;District 8;2016;Albio Sires;D;F
NJ;District 9;2016;Hector Castillo;R;?
NJ;District 9;2016;Bill Pascrell;D;F
NM;District 1;2016;Michelle Lujan Grisham;D;F
NM;District 1;2016;Richard Priem;R;?
NM;District 2;2016;Merrie Lee Soules;D;?
NM;District 2;2016;Steve Pearce;R;A
NM;District 3;2016;Ben Ray Luján;D;F
NM;District 3;2016;Mike Romero;R;AQ
NV;District 1;2016;Mary Perry;R;AQ
NV;District 1;2016;Dina Titus;D;F
NV;District 2;2016;Chip Evans;D;F
NV;District 2;2016;Mark Amodei;R;A
NV;District 3;2016;Jacky Rosen;D;F
NV;District 3;2016;Danny Tarkanian;R;AQ
NV;District 4;2016;Cresent Hardy;R;A
NV;District 4;2016;Ruben Kihuen;D;F
NY;District 1;2016;Anna Throne-Holst;D;F
NY;District 1;2016;Lee Zeldin;R;A
NY;District 10;2016;Philip Rosenthal;R;?
NY;District 10;2016;Jerrold Nadler;D;F
NY;District 11;2016;Richard Reichard;D;F
NY;District 11;2016;Dan Donovan;R;F
NY;District 12;2016;Robert Ardini;R;?
NY;District 12;2016;Carolyn Maloney;D;F
NY;District 13;2016;Adriano Espaillat;D;F
NY;District 13;2016;Robert Evans;R;?
NY;District 14;2016;Frank Spotorno;R;AQ
NY;District 14;2016;Joe Crowley;D;F
NY;District 15;2016;Jose Serrano;D;F
NY;District 15;2016;Alejandro Vega;R;?
NY;District 16;2016;Eliot Engel;D;F
NY;District 17;2016;Nita Lowey;D;F
NY;District 18;2016;Phil Oliva;R;AQ
NY;District 18;2016;Sean Patrick Maloney;D;F
NY;District 19;2016;Zephyr Teachout;D;F
NY;District 19;2016;John Faso;R;A
NY;District 2;2016;Peter King;R;F
NY;District 2;2016;DuWayne Gregory;D;F
NY;District 20;2016;Paul Tonko;D;F
NY;District 20;2016;Joe Vitollo;R;AQ
NY;District 21;2016;Elise Stefanik;R;A
NY;District 21;2016;Mike Derrick;D;?
NY;District 22;2016;Kim Myers;D;D
NY;District 22;2016;Claudia Tenney;R;A
NY;District 23;2016;Tom Reed;R;A
NY;District 23;2016;John Plumb;D;?
NY;District 24;2016;Colleen Deacon;D;F
NY;District 24;2016;John Katko;R;A
NY;District 25;2016;Louise Slaughter;D;F
NY;District 25;2016;Mark Assini;R;AQ
NY;District 26;2016;Shelly Schratz;R;?
NY;District 26;2016;Brian Higgins;D;D
NY;District 27;2016;Diana Kastenbaum;D;?
NY;District 27;2016;Chris Collins;R;A+
NY;District 3;2016;Jack Martins;R;F
NY;District 3;2016;Tom Suozzi;D;F
NY;District 4;2016;Kathleen Rice;D;F
NY;District 4;2016;David Gurfein;R;AQ
NY;District 5;2016;Michael O'Reilly;R;?
NY;District 5;2016;Gregory Meeks;D;F
NY;District 6;2016;Grace Meng;D;F
NY;District 6;2016;Danniel Maio;R;?
NY;District 7;2016;Nydia Velazquez;D;F
NY;District 7;2016;Allan Romaguera;R;?
NY;District 8;2016;Hakeem Jeffries;D;F
NY;District 9;2016;Yvette Clarke;D;F
OH;District 1;2016;Steve Chabot;R;A
OH;District 1;2016;Michele Young;D;?
OH;District 10;2016;Robert Klepinger;D;?
OH;District 10;2016;Mike Turner;R;A
OH;District 11;2016;Beverly Goldstein;R;AQ
OH;District 11;2016;Marcia Fudge;D;F
OH;District 12;2016;Ed Albertson;D;F
OH;District 12;2016;Pat Tiberi;R;A
OH;District 13;2016;Tim Ryan;D;D
OH;District 13;2016;Richard Morckel;R;?
OH;District 14;2016;Michael Wager;D;F
OH;District 14;2016;Dave Joyce;R;A
OH;District 15;2016;Steve Stivers;R;A
OH;District 15;2016;Scott Wharton;D;F
OH;District 16;2016;Jim Renacci;R;A
OH;District 16;2016;Keith Mundy;D;?
OH;District 2;2016;William Smith;D;?
OH;District 2;2016;Brad Wenstrup;R;A
OH;District 3;2016;John Adams;R;?
OH;District 3;2016;Joyce Beatty;D;F
